Feature1,Feature2,Feature3,Feature4
571,831,348,839
778,872,228,269
827,797,290,724
164,4,850,378
77,409,573,131
600,748,41,88
401,295,839,294
615,525,799,690
636,421,864,22
574,142,992,664
144,224,502,961
973,820,615,103
946,38,946,197
645,578,390,178
967,553,447,499
14,622,668,288
477,230,922,419
156,549,440,96
996,410,950,288
253,195,597,833
521,516,634,841
864,117,805,908
158,814,227,876
215,947,695,14
156,647,260,156
46,323,843,684
129,410,94,626
754,931,291,793
810,282,68,659
10,253,841,871
549,133,711,22
814,345,301,362
395,217,140,615
957,209,984,992
622,615,827,682
459,355,323,132
887,804,839,126
105,603,798,377
904,50,28,461
295,296,725,778
406,768,813,612
404,345,621,419
181,982,824,0
830,949,566,370
935,910,660,430
968,308,136,201
435,312,116,665
936,802,574,243
536,601,74,805
385,902,209,474
417,346,528,639
938,954,875,762
178,181,663,24
966,179,709,500
855,160,176,284
62,661,665,155
881,468,48,966
848,83,360,688
147,629,341,475
62,700,359,560
326,768,735,140
989,214,434,890
951,722,317,31
669,284,304,428
476,285,143,423
18,17,768,589
370,174,193,501
987,112,113,221
677,946,830,643
896,263,924,54
870,642,799,777
457,978,877,161
379,992,86,54
475,799,177,390
348,7,832,312
758,834,983,982
442,766,327,53
760,238,228,578
50,608,603,263
417,802,95,87
77,287,119,813
490,911,451,499
164,181,468,909
734,822,943,977
6,329,774,672
150,84,146,623
380,914,547,284
699,81,513,896
814,708,915,522
745,385,706,470
118,395,531,260
804,933,255,733
904,225,52,939
866,499,505,853
363,279,592,713
157,631,58,726
127,735,720,881
114,208,525,520
551,961,236,280
358,200,757,277
234,493,3,665
441,28,108,609
726,804,74,837
145,127,852,41
355,40,933,33
16,676,152,997
377,587,598,628
873,341,980,26
824,286,645,730
167,609,267,748
820,454,905,684
400,921,980,475
701,633,557,575
129,821,362,704
818,692,291,370
793,28,148,778
295,10,511,675
112,186,806,743
226,309,97,54
622,663,757,405
68,311,288,761
547,750,147,466
738,243,490,848
957,506,364,481
200,153,449,500
72,712,295,16
640,216,60,938
615,41,24,38
802,130,497,228
107,171,434,477
101,865,523,274
612,43,954,816
956,16,329,568
822,496,814,11
317,591,215,338
775,990,660,80
726,484,373,975
709,199,536,465
88,267,654,570
921,488,876,537
46,287,777,15
710,400,918,793
980,85,249,390
781,334,628,518
136,882,687,839
497,826,726,476
593,222,989,371
934,994,401,442
489,614,272,525
158,151,994,619
187,812,97,130
804,170,935,985
182,982,363,38
526,887,496,515
348,981,920,396
721,160,15,492
425,107,893,449
310,738,169,545
413,250,758,780
140,273,415,607
738,890,38,813
28,957,476,317
244,747,696,271
439,747,238,376
265,925,920,358
339,388,576,989
688,2,428,141
375,669,323,145
957,292,664,431
704,948,974,584
398,816,888,343
963,139,186,804
60,996,938,379
709,806,439,318
301,343,10,61
844,225,152,710
563,771,570,583
659,860,574,309
884,242,492,365
329,106,225,824
217,936,752,505
258,887,773,516
772,53,46,726
688,520,98,19
889,752,572,890
489,418,689,849
61,144,215,2
159,738,997,780
119,892,88,328
579,909,356,609
266,616,951,322
634,987,540,648
194,920,737,331
169,520,462,39
536,260,394,954
225,983,123,974
37,327,250,900
175,601,913,453
36,315,687,972
795,964,972,592
113,39,300,223
317,348,114,697
322,567,39,865
39,858,972,748
288,261,215,146
335,167,91,352
570,570,815,680
780,362,556,344
692,169,355,190
666,421,699,6
132,746,556,825
760,30,534,425
393,671,362,436
669,550,926,81
355,257,717,588
988,523,294,961
223,524,45,666
112,232,16,359
222,865,699,447
855,364,674,325
466,413,454,585
232,223,993,830
411,571,334,221
36,988,277,195
915,863,483,241
323,730,191,16
523,917,400,905
885,704,21,473
119,209,305,269
703,686,284,715
675,762,226,947
380,459,6,28
906,32,645,878
78,927,946,458
569,982,537,481
429,737,284,515
976,98,396,488
38,270,886,796
156,74,883,799
129,686,973,83
21,458,538,706
848,381,747,439
603,988,20,302
975,868,954,83
773,658,952,452
386,506,256,569
891,933,526,161
956,162,831,792
791,523,785,270
491,207,538,583
59,429,984,656
604,308,519,590
26,685,561,198
386,348,959,939
692,535,827,377
898,915,557,526
152,733,205,454
272,893,235,851
739,520,677,943
955,830,725,500
116,385,343,583
394,63,716,720
71,788,273,989
319,337,365,494
606,165,543,10
300,728,800,101
424,391,778,213
690,87,552,400
587,888,45,671
462,591,309,85
91,659,672,713
935,927,241,864
1,224,800,744
972,925,928,588
115,665,917,102
193,165,870,89
685,121,142,993
105,886,427,304
871,970,316,962
634,901,8,773
72,358,222,415
552,369,715,263
839,689,859,317
83,317,110,250
382,6,458,83
207,899,389,313
21,409,894,514
126,808,699,873
13,970,977,11
86,523,908,536
300,242,121,146
566,749,355,684
903,732,630,308
